Metric: Choptuik
Function type: Hyperbolic Tan
p0: 0.021544
r0: 20.000000
d: 3.000000
q: 2.000000
R step size: 0.001000
Maximum R: 70
Iterations: 50000
Number of threads: 12
Total simulation time: 356
0.000000,0.500000,1.000000,1.500000,2.000000,2.500000,3.000000,3.500000,4.000000,4.500000,5.000000,5.500000,6.000000,6.500000,7.000000,7.500000,8.000000,8.500000,9.000000,9.500000,10.000000,10.500000,11.000000,11.500000,12.000000,12.500000,13.000000,13.500000,14.000000,14.500000,15.000000,15.500000,16.000000,16.500000,17.000000,17.500000,18.000000,18.500000,19.000000,19.500000,20.000000,20.500000,21.000000,21.500000,22.000000,22.500000,23.000000,23.500000,24.000000,24.500000,25.000000,25.500000,26.000000,26.500000,27.000000,27.500000,28.000000,28.500000,29.000000,29.500000,30.000000,30.500000,31.000000,31.500000,32.000000,32.500000,33.000000,33.500000,34.000000,34.500000,35.000000,35.500000,36.000000,36.500000,37.000000,37.500000,38.000000,38.500000,39.000000,39.500000,40.000000,40.500000,41.000000,41.500000,42.000000,42.500000,43.000000,43.500000,44.000000,44.500000,45.000000,45.500000,46.000000,46.500000,47.000000,47.500000,48.000000,48.500000,49.000000,49.500000,50.000000,50.500000,51.000000,51.500000,52.000000,52.500000,53.000000,53.500000,54.000000,54.500000,55.000000,55.500000,56.000000,56.500000,57.000000,57.500000,58.000000,58.500000,59.000000,59.500000,60.000000,60.500000,61.000000,61.500000,62.000000,62.500000,63.000000,63.500000,64.000000,64.500000,65.000000,65.500000,66.000000,66.500000,67.000000,67.500000,68.000000,68.500000,69.000000,69.500000
-0.021544,-0.021544,-0.021544,-0.021544,-0.021544,-0.021544,-0.021544,-0.021544,-0.021543,-0.021543,-0.021542,-0.021542,-0.021541,-0.021539,-0.021537,-0.021534,-0.021530,-0.021524,-0.021516,-0.021505,-0.021490,-0.021468,-0.021438,-0.021396,-0.021337,-0.021256,-0.021143,-0.020986,-0.020769,-0.020470,-0.020060,-0.019501,-0.018745,-0.017735,-0.016408,-0.014699,-0.012556,-0.009956,-0.006927,-0.003558,0.000000,0.003558,0.006927,0.009956,0.012556,0.014699,0.016408,0.017735,0.018745,0.019501,0.020060,0.020470,0.020769,0.020986,0.021143,0.021256,0.021337,0.021396,0.021438,0.021468,0.021490,0.021505,0.021516,0.021524,0.021530,0.021534,0.021537,0.021539,0.021541,0.021542,0.021542,0.021543,0.021543,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544
-0.021544,-0.021544,-0.021544,-0.021544,-0.021544,-0.021544,-0.021544,-0.021543,-0.021543,-0.021542,-0.021542,-0.021541,-0.021539,-0.021537,-0.021534,-0.021531,-0.021525,-0.021518,-0.021508,-0.021493,-0.021473,-0.021445,-0.021407,-0.021353,-0.021278,-0.021175,-0.021032,-0.020834,-0.020563,-0.020193,-0.019690,-0.019015,-0.018121,-0.016955,-0.015470,-0.013625,-0.011405,-0.008828,-0.005947,-0.002851,0.000348,0.003530,0.006577,0.009385,0.011879,0.014013,0.015778,0.017195,0.018303,0.019153,0.019792,0.020268,0.020619,0.020875,0.021062,0.021197,0.021294,0.021365,0.021415,0.021452,0.021478,0.021497,0.021510,0.021520,0.021527,0.021532,0.021535,0.021538,0.021540,0.021541,0.021542,0.021543,0.021543,0.021543,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544
-0.021544,-0.021544,-0.021544,-0.021544,-0.021543,-0.021543,-0.021543,-0.021542,-0.021541,-0.021540,-0.021539,-0.021537,-0.021534,-0.021531,-0.021526,-0.021518,-0.021509,-0.021495,-0.021476,-0.021450,-0.021414,-0.021365,-0.021296,-0.021201,-0.021070,-0.020890,-0.020643,-0.020308,-0.019856,-0.019253,-0.018461,-0.017438,-0.016150,-0.014576,-0.012719,-0.010615,-0.008324,-0.005928,-0.003500,-0.001093,0.001270,0.003585,0.005858,0.008079,0.010217,0.012224,0.014045,0.015638,0.016982,0.018077,0.018945,0.019616,0.020126,0.020508,0.020791,0.020998,0.021150,0.021260,0.021339,0.021397,0.021438,0.021468,0.021490,0.021505,0.021516,0.021524,0.021530,0.021534,0.021537,0.021539,0.021540,0.021542,0.021542,0.021543,0.021543,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544
-0.021543,-0.021543,-0.021543,-0.021542,-0.021542,-0.021541,-0.021541,-0.021539,-0.021538,-0.021536,-0.021533,-0.021529,-0.021523,-0.021515,-0.021505,-0.021490,-0.021471,-0.021443,-0.021405,-0.021353,-0.021281,-0.021182,-0.021046,-0.020860,-0.020606,-0.020263,-0.019801,-0.019187,-0.018385,-0.017355,-0.016068,-0.014511,-0.012698,-0.010680,-0.008539,-0.006378,-0.004293,-0.002355,-0.000593,0.001007,0.002488,0.003912,0.005343,0.006831,0.008399,0.010039,0.011709,0.013345,0.014879,0.016251,0.017428,0.018400,0.019177,0.019782,0.020245,0.020592,0.020850,0.021040,0.021179,0.021281,0.021354,0.021407,0.021446,0.021473,0.021493,0.021508,0.021518,0.021525,0.021531,0.021535,0.021537,0.021539,0.021541,0.021542,0.021542,0.021543,0.021543,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544
-0.021541,-0.021541,-0.021540,-0.021540,-0.021539,-0.021537,-0.021536,-0.021533,-0.021530,-0.021525,-0.021519,-0.021510,-0.021499,-0.021483,-0.021461,-0.021430,-0.021389,-0.021332,-0.021254,-0.021147,-0.021001,-0.020801,-0.020530,-0.020164,-0.019674,-0.019024,-0.018177,-0.017094,-0.015746,-0.014121,-0.012241,-0.010163,-0.007981,-0.005812,-0.003768,-0.001935,-0.000356,0.000965,0.002059,0.002979,0.003786,0.004545,0.005320,0.006168,0.007135,0.008249,0.009517,0.010914,0.012386,0.013863,0.015268,0.016540,0.017639,0.018552,0.019286,0.019860,0.020299,0.020631,0.020878,0.021060,0.021193,0.021290,0.021361,0.021412,0.021449,0.021476,0.021495,0.021509,0.021519,0.021526,0.021531,0.021535,0.021538,0.021539,0.021541,0.021542,0.021543,0.021543,0.021543,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544
-0.021536,-0.021536,-0.021535,-0.021534,-0.021532,-0.021529,-0.021525,-0.021520,-0.021513,-0.021503,-0.021490,-0.021471,-0.021447,-0.021413,-0.021367,-0.021304,-0.021218,-0.021101,-0.020942,-0.020725,-0.020431,-0.020036,-0.019508,-0.018811,-0.017904,-0.016749,-0.015315,-0.013593,-0.011606,-0.009419,-0.007134,-0.004877,-0.002771,-0.000908,0.000660,0.001926,0.002914,0.003669,0.004244,0.004691,0.005060,0.005397,0.005747,0.006150,0.006645,0.007271,0.008056,0.009017,0.010152,0.011431,0.012799,0.014185,0.015514,0.016724,0.017774,0.018650,0.019355,0.019909,0.020334,0.020655,0.020894,0.021071,0.021201,0.021296,0.021365,0.021415,0.021451,0.021477,0.021496,0.021509,0.021519,0.021526,0.021531,0.021535,0.021538,0.021539,0.021541,0.021542,0.021543,0.021543,0.021543,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544
-0.021525,-0.021525,-0.021523,-0.021521,-0.021516,-0.021511,-0.021502,-0.021491,-0.021476,-0.021455,-0.021427,-0.021389,-0.021337,-0.021267,-0.021172,-0.021042,-0.020866,-0.020629,-0.020308,-0.019878,-0.019305,-0.018552,-0.017575,-0.016334,-0.014799,-0.012960,-0.010846,-0.008525,-0.006111,-0.003737,-0.001534,0.000398,0.002007,0.003283,0.004252,0.004961,0.005461,0.005802,0.006028,0.006178,0.006284,0.006373,0.006470,0.006601,0.006790,0.007065,0.007455,0.007987,0.008686,0.009565,0.010620,0.011820,0.013115,0.014434,0.015705,0.016866,0.017878,0.018725,0.019409,0.019946,0.020360,0.020673,0.020907,0.021080,0.021207,0.021300,0.021367,0.021416,0.021452,0.021478,0.021496,0.021510,0.021519,0.021526,0.021531,0.021535,0.021538,0.021540,0.021541,0.021542,0.021543,0.021543,0.021543,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544
-0.021502,-0.021501,-0.021498,-0.021492,-0.021483,-0.021471,-0.021454,-0.021430,-0.021398,-0.021355,-0.021296,-0.021217,-0.021110,-0.020965,-0.020770,-0.020506,-0.020153,-0.019682,-0.019056,-0.018237,-0.017178,-0.015838,-0.014185,-0.012212,-0.009951,-0.007479,-0.004916,-0.002407,-0.000093,0.001923,0.003585,0.004887,0.005858,0.006548,0.007011,0.007302,0.007464,0.007535,0.007544,0.007514,0.007464,0.007407,0.007358,0.007331,0.007338,0.007397,0.007525,0.007746,0.008083,0.008562,0.009205,0.010024,0.011015,0.012152,0.013384,0.014645,0.015866,0.016986,0.017965,0.018786,0.019452,0.019976,0.020381,0.020687,0.020916,0.021086,0.021211,0.021303,0.021369,0.021418,0.021453,0.021478,0.021497,0.021510,0.021520,0.021526,0.021531,0.021535,0.021538,0.021540,0.021541,0.021542,0.021543,0.021543,0.021543,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544
-0.021453,-0.021451,-0.021444,-0.021432,-0.021413,-0.021387,-0.021351,-0.021301,-0.021234,-0.021144,-0.021023,-0.020860,-0.020640,-0.020347,-0.019955,-0.019433,-0.018745,-0.017847,-0.016693,-0.015237,-0.013448,-0.011321,-0.008891,-0.006246,-0.003516,-0.000858,0.001580,0.003686,0.005405,0.006733,0.007704,0.008375,0.008805,0.009051,0.009162,0.009176,0.009123,0.009025,0.008900,0.008759,0.008613,0.008468,0.008332,0.008211,0.008112,0.008044,0.008016,0.008043,0.008140,0.008328,0.008629,0.009067,0.009663,0.010431,0.011366,0.012444,0.013620,0.014829,0.016005,0.017087,0.018037,0.018837,0.019487,0.020000,0.020397,0.020698,0.020924,0.021091,0.021214,0.021305,0.021371,0.021419,0.021453,0.021479,0.021497,0.021510,0.021520,0.021527,0.021532,0.021535,0.021538,0.021540,0.021541,0.021542,0.021543,0.021543,0.021543,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544,0.021544
