-0.059401,-0.059388,-0.059347,-0.059277,-0.059169,-0.059017,-0.058807,-0.058522,-0.058137,-0.057621,-0.056931,-0.056010,-0.054786,-0.053166,-0.051037,-0.048266,-0.044706,-0.040214,-0.034671,-0.028027,-0.020347,-0.011858,-0.002973,0.005740,0.013672,0.020333,0.025487,0.029165,0.031576,0.032999,0.033700,0.033898,0.033760,0.033405,0.032916,0.032348,0.031740,0.031117,0.030495,0.029884,0.029292,0.028723,0.028182,0.027673,0.027199,0.026766,0.026380,0.026050,0.025789,0.025613,0.025544,0.025609,0.025842,0.026285,0.026985,0.027989,0.029339,0.031062,0.033154,0.035574,0.038239,0.041030,0.043817,0.046477,0.048912,0.051062,0.052900,0.054430,0.055674,0.056668,0.057450,0.058056,0.058523,0.058879,0.059148,0.059352,0.059504,0.059618,0.059704,0.059767,0.059814,0.059849,0.059875,0.059894,0.059909,0.059919,0.059927,0.059933,0.059937,0.059940,0.059942,0.059944,0.059945,0.059946,0.059947,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.058781,-0.058754,-0.058670,-0.058523,-0.058301,-0.057986,-0.057553,-0.056967,-0.056183,-0.055138,-0.053755,-0.051932,-0.049548,-0.046460,-0.042511,-0.037544,-0.031434,-0.024124,-0.015683,-0.006357,0.003391,0.012910,0.021485,0.028547,0.033844,0.037450,0.039650,0.040788,0.041177,0.041065,0.040631,0.040000,0.039256,0.038454,0.037629,0.036805,0.035994,0.035206,0.034444,0.033712,0.033010,0.032339,0.031699,0.031091,0.030514,0.029970,0.029460,0.028987,0.028556,0.028173,0.027847,0.027590,0.027419,0.027354,0.027424,0.027663,0.028109,0.028808,0.029804,0.031135,0.032820,0.034849,0.037176,0.039716,0.042355,0.044971,0.047452,0.049714,0.051704,0.053403,0.054817,0.055967,0.056886,0.057610,0.058173,0.058608,0.058939,0.059192,0.059382,0.059526,0.059634,0.059714,0.059775,0.059820,0.059853,0.059878,0.059896,0.059910,0.059920,0.059927,0.059933,0.059937,0.059940,0.059942,0.059944,0.059945,0.059946,0.059947,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.057483,-0.057427,-0.057254,-0.056951,-0.056495,-0.055851,-0.054970,-0.053788,-0.052219,-0.050156,-0.047467,-0.043997,-0.039578,-0.034040,-0.027247,-0.019134,-0.009770,0.000576,0.011378,0.021872,0.031195,0.038667,0.044026,0.047429,0.049267,0.049978,0.049929,0.049398,0.048576,0.047593,0.046529,0.045436,0.044347,0.043281,0.042248,0.041253,0.040299,0.039387,0.038515,0.037683,0.036889,0.036130,0.035406,0.034714,0.034055,0.033426,0.032827,0.032258,0.031721,0.031216,0.030747,0.030317,0.029934,0.029604,0.029342,0.029161,0.029083,0.029133,0.029344,0.029753,0.030403,0.031335,0.032583,0.034165,0.036073,0.038262,0.040652,0.043138,0.045605,0.047950,0.050093,0.051984,0.053604,0.054957,0.056062,0.056949,0.057650,0.058198,0.058622,0.058947,0.059195,0.059383,0.059525,0.059632,0.059713,0.059773,0.059818,0.059851,0.059876,0.059895,0.059909,0.059919,0.059927,0.059932,0.059937,0.059940,0.059942,0.059944,0.059945,0.059946,0.059947,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.054786,-0.054671,-0.054319,-0.053703,-0.052780,-0.051486,-0.049733,-0.047407,-0.044367,-0.040448,-0.035468,-0.029244,-0.021624,-0.012530,-0.002027,0.009589,0.021714,0.033414,0.043606,0.051451,0.056701,0.059662,0.060897,0.060963,0.060294,0.059194,0.057862,0.056422,0.054952,0.053495,0.052078,0.050714,0.049408,0.048164,0.046980,0.045853,0.044783,0.043764,0.042794,0.041869,0.040988,0.040147,0.039343,0.038574,0.037839,0.037135,0.036461,0.035816,0.035199,0.034610,0.034048,0.033515,0.033012,0.032541,0.032107,0.031715,0.031372,0.031090,0.030882,0.030766,0.030767,0.030913,0.031239,0.031783,0.032585,0.033680,0.035088,0.036808,0.038806,0.041015,0.043341,0.045678,0.047926,0.050003,0.051857,0.053461,0.054812,0.055926,0.056827,0.057545,0.058109,0.058548,0.058887,0.059147,0.059345,0.059495,0.059609,0.059694,0.059758,0.059807,0.059843,0.059870,0.059890,0.059905,0.059916,0.059925,0.059931,0.059935,0.059939,0.059941,0.059943,0.059945,0.059946,0.059946,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.049239,-0.049009,-0.048305,-0.047080,-0.045258,-0.042730,-0.039352,-0.034951,-0.029336,-0.022305,-0.013689,-0.003388,0.008544,0.021792,0.035636,0.048878,0.060062,0.068116,0.072882,0.074965,0.075196,0.074285,0.072731,0.070853,0.068843,0.066812,0.064822,0.062906,0.061078,0.059344,0.057703,0.056153,0.054687,0.053302,0.051990,0.050747,0.049568,0.048448,0.047382,0.046367,0.045399,0.044475,0.043591,0.042745,0.041935,0.041158,0.040413,0.039698,0.039010,0.038350,0.037716,0.037107,0.036523,0.035964,0.035431,0.034924,0.034446,0.033999,0.033589,0.033221,0.032905,0.032651,0.032474,0.032394,0.032437,0.032630,0.033009,0.033610,0.034470,0.035616,0.037059,0.038786,0.040752,0.042882,0.045082,0.047254,0.049311,0.051187,0.052844,0.054265,0.055456,0.056433,0.057220,0.057846,0.058338,0.058721,0.059016,0.059243,0.059416,0.059548,0.059648,0.059723,0.059780,0.059822,0.059854,0.059878,0.059896,0.059910,0.059919,0.059927,0.059932,0.059937,0.059940,0.059942,0.059944,0.059945,0.059946,0.059946,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.038001,-0.037554,-0.036188,-0.033829,-0.030359,-0.025616,-0.019404,-0.011513,-0.001747,0.010030,0.023799,0.039235,0.055450,0.070755,0.082974,0.090691,0.094128,0.094507,0.093064,0.090671,0.087856,0.084916,0.082006,0.079207,0.076552,0.074054,0.071711,0.069517,0.067461,0.065534,0.063724,0.062022,0.060418,0.058904,0.057472,0.056116,0.054830,0.053607,0.052444,0.051336,0.050278,0.049267,0.048300,0.047374,0.046486,0.045634,0.044815,0.044029,0.043271,0.042543,0.041841,0.041164,0.040512,0.039883,0.039277,0.038693,0.038131,0.037592,0.037076,0.036583,0.036118,0.035681,0.035278,0.034914,0.034597,0.034339,0.034153,0.034058,0.034075,0.034234,0.034565,0.035103,0.035881,0.036926,0.038251,0.039842,0.041661,0.043640,0.045694,0.047732,0.049671,0.051449,0.053027,0.054388,0.055534,0.056480,0.057246,0.057858,0.058341,0.058719,0.059011,0.059237,0.059410,0.059542,0.059642,0.059718,0.059775,0.059819,0.059851,0.059876,0.059894,0.059908,0.059918,0.059926,0.059932,0.059936,0.059939,0.059942,0.059943,0.059945,0.059946,0.059946,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.015729,-0.014893,-0.012348,-0.007991,-0.001664,0.006840,0.017747,0.031261,0.047464,0.066083,0.085951,0.104223,0.116974,0.122550,0.122669,0.119798,0.115616,0.111020,0.106444,0.102079,0.097997,0.094215,0.090721,0.087495,0.084513,0.081750,0.079184,0.076795,0.074565,0.072477,0.070518,0.068676,0.066940,0.065300,0.063748,0.062276,0.060879,0.059550,0.058284,0.057076,0.055923,0.054819,0.053763,0.052750,0.051778,0.050845,0.049947,0.049083,0.048251,0.047450,0.046676,0.045930,0.045208,0.044512,0.043838,0.043186,0.042556,0.041946,0.041356,0.040785,0.040234,0.039702,0.039190,0.038698,0.038229,0.037783,0.037365,0.036978,0.036628,0.036324,0.036075,0.035896,0.035804,0.035820,0.035970,0.036286,0.036798,0.037537,0.038526,0.039774,0.041268,0.042969,0.044811,0.046717,0.048602,0.050394,0.052035,0.053492,0.054750,0.055811,0.056688,0.057401,0.057972,0.058424,0.058778,0.059054,0.059267,0.059431,0.059557,0.059652,0.059725,0.059780,0.059822,0.059854,0.059877,0.059895,0.059909,0.059919,0.059926,0.059932,0.059936,0.059939,0.059942,0.059943,0.059945,0.059946,0.059946,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
