Metric: Choptuik
Function type: Hyperbolic Tan
p0: 0.059948
r0: 20.000000
d: 3.000000
q: 2.000000
R step size: 0.001000
Maximum R: 70
Iterations: 50000
Number of threads: 12
Total simulation time: 361
0.000000,0.500000,1.000000,1.500000,2.000000,2.500000,3.000000,3.500000,4.000000,4.500000,5.000000,5.500000,6.000000,6.500000,7.000000,7.500000,8.000000,8.500000,9.000000,9.500000,10.000000,10.500000,11.000000,11.500000,12.000000,12.500000,13.000000,13.500000,14.000000,14.500000,15.000000,15.500000,16.000000,16.500000,17.000000,17.500000,18.000000,18.500000,19.000000,19.500000,20.000000,20.500000,21.000000,21.500000,22.000000,22.500000,23.000000,23.500000,24.000000,24.500000,25.000000,25.500000,26.000000,26.500000,27.000000,27.500000,28.000000,28.500000,29.000000,29.500000,30.000000,30.500000,31.000000,31.500000,32.000000,32.500000,33.000000,33.500000,34.000000,34.500000,35.000000,35.500000,36.000000,36.500000,37.000000,37.500000,38.000000,38.500000,39.000000,39.500000,40.000000,40.500000,41.000000,41.500000,42.000000,42.500000,43.000000,43.500000,44.000000,44.500000,45.000000,45.500000,46.000000,46.500000,47.000000,47.500000,48.000000,48.500000,49.000000,49.500000,50.000000,50.500000,51.000000,51.500000,52.000000,52.500000,53.000000,53.500000,54.000000,54.500000,55.000000,55.500000,56.000000,56.500000,57.000000,57.500000,58.000000,58.500000,59.000000,59.500000,60.000000,60.500000,61.000000,61.500000,62.000000,62.500000,63.000000,63.500000,64.000000,64.500000,65.000000,65.500000,66.000000,66.500000,67.000000,67.500000,68.000000,68.500000,69.000000,69.500000
-0.059948,-0.059948,-0.059948,-0.059948,-0.059948,-0.059947,-0.059947,-0.059946,-0.059946,-0.059945,-0.059943,-0.059941,-0.059938,-0.059934,-0.059928,-0.059920,-0.059908,-0.059892,-0.059870,-0.059839,-0.059796,-0.059736,-0.059652,-0.059535,-0.059372,-0.059146,-0.058831,-0.058395,-0.057792,-0.056960,-0.055819,-0.054262,-0.052159,-0.049350,-0.045656,-0.040901,-0.034937,-0.027703,-0.019274,-0.009900,0.000000,0.009900,0.019274,0.027703,0.034937,0.040901,0.045656,0.049350,0.052159,0.054262,0.055819,0.056960,0.057792,0.058395,0.058831,0.059146,0.059372,0.059535,0.059652,0.059736,0.059796,0.059839,0.059870,0.059892,0.059908,0.059920,0.059928,0.059934,0.059938,0.059941,0.059943,0.059945,0.059946,0.059946,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.059948,-0.059948,-0.059948,-0.059948,-0.059947,-0.059947,-0.059946,-0.059946,-0.059944,-0.059943,-0.059941,-0.059938,-0.059934,-0.059929,-0.059921,-0.059910,-0.059895,-0.059875,-0.059846,-0.059806,-0.059750,-0.059673,-0.059565,-0.059415,-0.059208,-0.058920,-0.058522,-0.057973,-0.057218,-0.056187,-0.054789,-0.052911,-0.050421,-0.047176,-0.043037,-0.037896,-0.031706,-0.024515,-0.016476,-0.007841,0.001071,0.009915,0.018362,0.026132,0.033018,0.038912,0.043793,0.047721,0.050804,0.053175,0.054969,0.056309,0.057300,0.058028,0.058559,0.058945,0.059225,0.059427,0.059573,0.059678,0.059754,0.059809,0.059848,0.059876,0.059897,0.059911,0.059922,0.059929,0.059935,0.059939,0.059941,0.059943,0.059945,0.059946,0.059947,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.059947,-0.059947,-0.059946,-0.059946,-0.059946,-0.059945,-0.059944,-0.059942,-0.059940,-0.059937,-0.059934,-0.059928,-0.059921,-0.059910,-0.059896,-0.059876,-0.059849,-0.059812,-0.059759,-0.059687,-0.059587,-0.059448,-0.059257,-0.058992,-0.058627,-0.058126,-0.057441,-0.056509,-0.055251,-0.053572,-0.051364,-0.048513,-0.044920,-0.040522,-0.035325,-0.029421,-0.022984,-0.016244,-0.009425,-0.002691,0.003877,0.010266,0.016490,0.022533,0.028330,0.033768,0.038718,0.043074,0.046780,0.049835,0.052285,0.054205,0.055682,0.056800,0.057638,0.058259,0.058717,0.059053,0.059299,0.059478,0.059608,0.059702,0.059770,0.059820,0.059855,0.059881,0.059900,0.059913,0.059923,0.059930,0.059935,0.059939,0.059942,0.059944,0.059945,0.059946,0.059947,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.059944,-0.059944,-0.059944,-0.059943,-0.059942,-0.059940,-0.059938,-0.059935,-0.059930,-0.059924,-0.059916,-0.059905,-0.059889,-0.059868,-0.059839,-0.059799,-0.059743,-0.059666,-0.059561,-0.059416,-0.059215,-0.058940,-0.058562,-0.058044,-0.057339,-0.056382,-0.055096,-0.053388,-0.051150,-0.048278,-0.044681,-0.040318,-0.035222,-0.029525,-0.023461,-0.017323,-0.011404,-0.005921,-0.000975,0.003464,0.007518,0.011366,0.015187,0.019126,0.023261,0.027583,0.032000,0.036360,0.040493,0.044249,0.047530,0.050294,0.052552,0.054349,0.055751,0.056826,0.057639,0.058248,0.058701,0.059036,0.059283,0.059463,0.059595,0.059692,0.059762,0.059813,0.059850,0.059877,0.059897,0.059911,0.059921,0.059929,0.059934,0.059938,0.059941,0.059943,0.059945,0.059946,0.059946,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.059938,-0.059938,-0.059937,-0.059935,-0.059933,-0.059929,-0.059924,-0.059918,-0.059908,-0.059895,-0.059878,-0.059854,-0.059821,-0.059777,-0.059715,-0.059631,-0.059516,-0.059358,-0.059140,-0.058843,-0.058436,-0.057881,-0.057127,-0.056107,-0.054742,-0.052932,-0.050569,-0.047544,-0.043768,-0.039203,-0.033893,-0.027991,-0.021761,-0.015541,-0.009674,-0.004433,0.000037,0.003726,0.006727,0.009198,0.011323,0.013289,0.015270,0.017420,0.019863,0.022680,0.025895,0.029464,0.033270,0.037150,0.040922,0.044423,0.047537,0.050203,0.052414,0.054196,0.055602,0.056691,0.057524,0.058153,0.058624,0.058974,0.059234,0.059425,0.059566,0.059669,0.059745,0.059800,0.059840,0.059870,0.059891,0.059907,0.059918,0.059926,0.059933,0.059937,0.059940,0.059942,0.059944,0.059945,0.059946,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.059925,-0.059924,-0.059922,-0.059919,-0.059913,-0.059906,-0.059895,-0.059880,-0.059860,-0.059833,-0.059796,-0.059746,-0.059677,-0.059583,-0.059455,-0.059280,-0.059041,-0.058715,-0.058271,-0.057667,-0.056850,-0.055750,-0.054279,-0.052336,-0.049806,-0.046575,-0.042551,-0.037695,-0.032056,-0.025800,-0.019216,-0.012677,-0.006566,-0.001189,0.003283,0.006825,0.009526,0.011533,0.013014,0.014131,0.015028,0.015831,0.016655,0.017601,0.018768,0.020244,0.022106,0.024402,0.027144,0.030286,0.033722,0.037301,0.040848,0.044199,0.047230,0.049865,0.052081,0.053891,0.055336,0.056468,0.057340,0.058005,0.058507,0.058883,0.059163,0.059371,0.059524,0.059637,0.059721,0.059782,0.059827,0.059860,0.059884,0.059901,0.059914,0.059923,0.059930,0.059935,0.059939,0.059941,0.059943,0.059945,0.059946,0.059946,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.059895,-0.059894,-0.059890,-0.059882,-0.059871,-0.059854,-0.059832,-0.059801,-0.059758,-0.059701,-0.059622,-0.059516,-0.059373,-0.059177,-0.058912,-0.058551,-0.058062,-0.057400,-0.056507,-0.055309,-0.053714,-0.051613,-0.048885,-0.045409,-0.041089,-0.035884,-0.029847,-0.023157,-0.016128,-0.009167,-0.002700,0.002933,0.007546,0.011115,0.013741,0.015588,0.016832,0.017634,0.018130,0.018428,0.018615,0.018760,0.018926,0.019167,0.019541,0.020106,0.020926,0.022065,0.023584,0.025528,0.027911,0.030705,0.033826,0.037144,0.040499,0.043730,0.046707,0.049340,0.051590,0.053455,0.054963,0.056157,0.057088,0.057804,0.058348,0.058759,0.059068,0.059298,0.059469,0.059595,0.059689,0.059758,0.059809,0.059846,0.059873,0.059894,0.059908,0.059919,0.059927,0.059933,0.059937,0.059940,0.059942,0.059944,0.059945,0.059946,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.059831,-0.059829,-0.059819,-0.059803,-0.059779,-0.059744,-0.059696,-0.059631,-0.059541,-0.059421,-0.059257,-0.059037,-0.058739,-0.058336,-0.057792,-0.057060,-0.056077,-0.054763,-0.053021,-0.050733,-0.047773,-0.044012,-0.039347,-0.033736,-0.027235,-0.020038,-0.012485,-0.005028,0.001861,0.007803,0.012595,0.016223,0.018813,0.020555,0.021647,0.022265,0.022550,0.022611,0.022527,0.022357,0.022145,0.021925,0.021727,0.021577,0.021503,0.021537,0.021713,0.022075,0.022673,0.023561,0.024796,0.026422,0.028467,0.030920,0.033724,0.036776,0.039933,0.043046,0.045976,0.048621,0.050924,0.052866,0.054460,0.055740,0.056749,0.057534,0.058136,0.058594,0.058940,0.059200,0.059394,0.059539,0.059646,0.059726,0.059784,0.059828,0.059860,0.059883,0.059901,0.059913,0.059923,0.059930,0.059935,0.059938,0.059941,0.059943,0.059945,0.059946,0.059946,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
-0.059694,-0.059688,-0.059668,-0.059635,-0.059583,-0.059510,-0.059410,-0.059272,-0.059086,-0.058835,-0.058497,-0.058043,-0.057433,-0.056616,-0.055523,-0.054071,-0.052153,-0.049645,-0.046411,-0.042315,-0.037247,-0.031162,-0.024120,-0.016330,-0.008167,-0.000131,0.007243,0.013529,0.018507,0.022181,0.024710,0.026323,0.027247,0.027680,0.027772,0.027638,0.027358,0.026989,0.026570,0.026129,0.025685,0.025254,0.024847,0.024475,0.024151,0.023889,0.023705,0.023621,0.023664,0.023870,0.024279,0.024939,0.025902,0.027217,0.028918,0.031016,0.033481,0.036238,0.039173,0.042146,0.045020,0.047680,0.050049,0.052087,0.053791,0.055182,0.056294,0.057169,0.057848,0.058369,0.058766,0.059066,0.059292,0.059461,0.059587,0.059681,0.059751,0.059803,0.059841,0.059869,0.059890,0.059906,0.059917,0.059925,0.059932,0.059936,0.059939,0.059942,0.059944,0.059945,0.059946,0.059947,0.059947,0.059947,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948,0.059948
